Tax Year,County,Income Class,Number of Returns,NY AGI Total ($),NYS Tax Liability Total ($)
1999,Albany,"$10,000 - $19,999",20279,299890640.65,6638424.2
1999,Albany,"$100,000 - $199,999",12334,1850686487.9,33379054.31
1999,Albany,"$20,000 - $29,999",19331,487773974.86,10367290.5
1999,Albany,"$200,000 or more",6209,2121048908.29,18316704.66
1999,Albany,"$30,000 - $39,999",16820,607210350.3,14139222.79
1999,Albany,"$40,000 - $49,999",14368,635684948.83,17331086.46
1999,Albany,"$5,000 - $9,999",9311,68425502.97,1525707.11
1999,Albany,"$50,000 - $74,999",24358,1605546491.96,39099279.09
1999,Albany,"$75,000 - $99,999",12959,1070983227.27,29574481.06
1999,Albany,"Under $5,000",8942,22747049.22,445623.74
1999,Bronx,"$10,000 - $19,999",84456,1268725873.97,19727014.86
1999,Bronx,"$100,000 - $199,999",24067,3393957038.55,45039469.82
1999,Bronx,"$20,000 - $29,999",72617,1791618453.79,30966853.04
1999,Bronx,"$200,000 or more",10457,3391063321.25,20191814.14
1999,Bronx,"$30,000 - $39,999",57154,1886936407.82,33392062.39
1999,Bronx,"$40,000 - $49,999",42636,2025311124.2,34107261.5
1999,Bronx,"$5,000 - $9,999",49507,411813766.55,5549237.68
1999,Bronx,"$50,000 - $74,999",57520,3459200825.29,68831040.6
1999,Bronx,"$75,000 - $99,999",27487,2393738218.22,38000379.85
1999,Bronx,"Under $5,000",58473,150019469.94,2005766.85
1999,Brooklyn,"$10,000 - $19,999",124865,1927786283.68,41213199.55
1999,Brooklyn,"$100,000 - $199,999",63434,9079531097.99,149289925.84
1999,Brooklyn,"$20,000 - $29,999",112525,2787514742.48,60513796.25
1999,Brooklyn,"$200,000 or more",32291,10142427578.07,88306827.02
1999,Brooklyn,"$30,000 - $39,999",100264,3373813166.32,78438027.68
1999,Brooklyn,"$40,000 - $49,999",81652,3695365264.58,86385295.57
1999,Brooklyn,"$5,000 - $9,999",63659,475880326.04,9487127.15
1999,Brooklyn,"$50,000 - $74,999",140508,8244464280.41,195361807.07
1999,Brooklyn,"$75,000 - $99,999",76516,6878188443.92,143604655.82
1999,Brooklyn,"Under $5,000",64667,167014181.55,2884599.33
1999,Broome,"$10,000 - $19,999",13641,205838412.92,4074787.25
1999,Broome,"$100,000 - $199,999",6331,938685065.23,14226283.79
1999,Broome,"$20,000 - $29,999",13095,318153459.01,6189840.33
1999,Broome,"$200,000 or more",2916,878117975.62,6734768.31
1999,Broome,"$30,000 - $39,999",10673,370464401.32,8170523.94
1999,Broome,"$40,000 - $49,999",9550,472157392.3,10237330.94
1999,Broome,"$5,000 - $9,999",7142,51292554.59,1020167.46
1999,Broome,"$50,000 - $74,999",13450,833521646.92,19295845.44
1999,Broome,"$75,000 - $99,999",6997,625036404.34,12199613.61
1999,Broome,"Under $5,000",7490,18429713.05,290090.7
1999,Cayuga,"$10,000 - $19,999",5204,79656251.16,1407599.1
1999,Cayuga,"$100,000 - $199,999",2288,348234094.32,5189204.04
